"","Group","Species","dist","R","logdist"
"497","Moths","Abraxas grossulariata",0.1248384,100,-0.903651806136343
"498","Moths","Abraxas sylvata",0.080293982,100,-1.09531700368935
"499","Moths","Abrostola tripartita",0.370519106,100,-0.431189392498602
"500","Moths","Abrostola triplasia",0.370519106,100,-0.431189392498602
"501","Moths","Acasis viretata",0.0035005,200,-2.45586991801204
"502","Moths","Achlya flavicornis",0.681330565,100,-0.166642127847496
"503","Moths","Acosmetia caliginosa",0.110612874,100,-0.956194323467317
"504","Moths","Acronicta aceris",0.951731245,100,-0.0214856727203333
"505","Moths","Acronicta alni",0.542071807,100,-0.265943179664117
"506","Moths","Acronicta cinerea",0.282598983,100,-0.548829405397166
"507","Moths","Acronicta leporina",0.684637277,100,-0.164539458171176
"508","Moths","Acronicta menyanthidis",0.610930597,100,-0.214008123721312
"509","Moths","Acronicta psi",0.684637277,100,-0.164539458171176
"510","Moths","Acronicta rumicis",0.610930597,100,-0.214008123721312
"511","Moths","Acronicta tridens",0.684637277,100,-0.164539458171176
"512","Moths","Actebia praecox",0.76681751,100,-0.115307978723612
"513","Moths","Adscita geryon",0.010809707,100,-1.96618607755527
"514","Moths","Adscita statices",0.050993752,100,-1.29248303249324
"515","Moths","Aethalura punctulata",0.011106741,100,-1.95441335540192
"516","Moths","Agriopis aurantiaria",0.058581109,100,-1.23224241094016
"517","Moths","Agriopis leucophaearia",0.016893077,100,-1.77229123838573
"518","Moths","Agriopis marginaria",0.042034486,100,-1.37639425879109
"519","Moths","Agrochola circellaris",0.423500526,100,-0.373146045926531
"520","Moths","Agrochola haematidea",0.244667819,100,-0.611423149364234
"521","Moths","Agrochola helvola",0.477965414,100,-0.320603528183669
"522","Moths","Agrochola litura",0.323754634,100,-0.489784006675244
"523","Moths","Agrochola lota",0.423500526,100,-0.373146045926531
"524","Moths","Agrochola lychnidis",0.423500526,100,-0.373146045926531
"525","Moths","Agrochola macilenta",0.282598983,100,-0.548829405397166
"526","Moths","Agrotis bigramma",0.610930597,100,-0.214008123721312
"527","Moths","Agrotis cinerea",0.282598983,100,-0.548829405397166
"528","Moths","Agrotis clavis",0.370519106,100,-0.431189392498602
"529","Moths","Agrotis exclamationis",0.721764809,200,-0.141604296604149
"530","Moths","Agrotis graslini",0.542071807,NA,-0.265943179664117
"531","Moths","Agrotis puta",0.041670851,200,-1.38016763031233
"532","Moths","Agrotis ripae",0.370519106,100,-0.431189392498602
"533","Moths","Agrotis segetum",0.684637277,100,-0.164539458171176
"534","Moths","Agrotis trux",0.542071807,100,-0.265943179664117
"535","Moths","Agrotis vestigialis",0.370519106,100,-0.431189392498602
"536","Moths","Alcis jubata",0.011106741,100,-1.95441335540192
"537","Moths","Alcis repandata",0.166325613,100,-0.779040867268495
"538","Moths","Aleucis distinctata",0.007133241,100,-2.14671310288216
"539","Moths","Allophyes oxyacanthae",0.684637277,100,-0.164539458171176
"540","Moths","Alsophila aescularia",0.035229917,100,-1.45308837999459
"541","Moths","Amphipoea crinanensis",0.21155034,100,-0.674586272341643
"542","Moths","Amphipoea fucosa",0.282598983,100,-0.548829405397166
"543","Moths","Amphipoea lucens",0.323754634,100,-0.489784006675244
"544","Moths","Amphipoea oculea",0.148187439,100,-0.82918860745104
"545","Moths","Amphipyra berbera",1.875835441,100,0.273194736921348
"546","Moths","Amphipyra pyramidea",5.215524499,100,0.717297989764924
"547","Moths","Amphipyra tragopoginis",0.477965414,100,-0.320603528183669
"548","Moths","Anaplectoides prasina",1.564552706,100,0.194390198060292
"549","Moths","Anarta melanopa",0.110612874,100,-0.956194323467317
"550","Moths","Anarta myrtilli",0.076550588,100,-1.11605146905227
"551","Moths","Anarta trifolii",0.370519106,200,-0.431189392498602
"552","Moths","Angerona prunaria",0.317372797,100,-0.498430300703693
"553","Moths","Anorthoa munda",0.684637277,100,-0.164539458171176
"554","Moths","Anticlea derivata",0.013654173,100,-1.86473459888661
"555","Moths","Anticollix sparsata",0.0035005,100,-2.45586991801204
"556","Moths","Antitype chi",0.477965414,100,-0.320603528183669
"557","Moths","Apamea anceps",0.237075517,100,-0.625113293684454
"558","Moths","Apamea crenata",0.951731245,100,-0.0214856727203333
"559","Moths","Apamea epomidion",0.684637277,100,-0.164539458171176
"560","Moths","Apamea exulis",0.854479721,100,-0.0682982397452394
"561","Moths","Apamea furva",0.542071807,100,-0.265943179664117
"562","Moths","Apamea lithoxylaea",1.055148732,100,0.0233136813722646
"563","Moths","Apamea monoglypha",0.570569579,100,-0.243691387296241
"564","Moths","Apamea oblonga",0.854479721,100,-0.0682982397452394
"565","Moths","Apamea remissa",0.610930597,100,-0.214008123721312
"566","Moths","Apamea scolopacina",0.323754634,100,-0.489784006675244
"567","Moths","Apamea sordens",0.466759141,100,-0.330907168082718
"568","Moths","Apamea sublustris",0.854479721,100,-0.0682982397452394
"569","Moths","Apamea unanimis",0.370519106,100,-0.431189392498602
"570","Moths","Apeira syringaria",0.093186832,100,-1.03064545238607
"571","Moths","Aplasta ononaria",0.007133241,100,-2.14671310288216
"572","Moths","Aplocera efformata",0.035229917,200,-1.45308837999459
"573","Moths","Aplocera plagiata",0.093186832,100,-1.03064545238607
"574","Moths","Apocheima hispidaria",0.020540647,100,-1.68738588088945
"575","Moths","Apoda limacodes",0.020971752,100,-1.67836528664725
"576","Moths","Aporophyla australis",0.323754634,100,-0.489784006675244
"577","Moths","Aporophyla lueneburgensis",0.370519106,100,-0.431189392498602
"578","Moths","Aporophyla lutulenta",0.423500526,100,-0.373146045926531
"579","Moths","Aporophyla nigra",0.76681751,100,-0.115307978723612
"580","Moths","Apterogenum ypsillon",0.477965414,100,-0.320603528183669
"581","Moths","Archanara dissoluta",0.181206102,100,-0.741827181823066
"582","Moths","Archanara neurica",0.131063643,100,-0.882517764711872
"583","Moths","Archiearis parthenias",0.035229917,100,-1.45308837999459
"584","Moths","Arctia caja",6.26352464,100,0.79681879022826
"585","Moths","Arctia villica",2.889668772,100,0.460848064646942
"586","Moths","Arenostola phragmitidis",0.282598983,100,-0.548829405397166
"587","Moths","Aspitates gilvaria",0.024610397,100,-1.60888138046548
"588","Moths","Aspitates ochrearia",0.008860446,200,-2.05254441688677
"589","Moths","Asteroscopus sphinx",0.854479721,100,-0.0682982397452394
"590","Moths","Asthena albulata",0.001104124,100,-2.95698214989336
"591","Moths","Atethmia centrago",0.423500526,100,-0.373146045926531
"592","Moths","Athetis pallustris",0.131063643,100,-0.882517764711872
"593","Moths","Atolmis rubricollis",0.115243356,100,-0.938384103124536
"594","Moths","Autographa bractea",0.854479721,100,-0.0682982397452394
"595","Moths","Autographa jota",0.76681751,100,-0.115307978723612
"596","Moths","Autographa pulchrina",0.684637277,100,-0.164539458171176
"597","Moths","Axylia putris",0.437131287,100,-0.359388108437866
"598","Moths","Bembecia ichneumoniformis",0.010809707,100,-1.96618607755527
"599","Moths","Bena bicolorana",1.724579981,100,0.236683340484496
"600","Moths","Biston betularia",0.317372797,100,-0.498430300703693
"601","Moths","Biston strataria",0.144047636,100,-0.841493864635076
"602","Moths","Boudinotiana notha",0.020540647,100,-1.68738588088945
"603","Moths","Brachionycha nubeculosa",1.423666084,100,0.153408138962626
"604","Moths","Brachylomia viminalis",0.21155034,100,-0.674586272341643
"605","Moths","Bryophila domestica",0.154953188,100,-0.809799484177421
"606","Moths","Bupalus piniaria",0.042034486,100,-1.37639425879109
"607","Moths","Cabera exanthemata",0.013654173,100,-1.86473459888661
"608","Moths","Cabera pusaria",0.020540647,100,-1.68738588088945
"609","Moths","Calamia tridens",0.542071807,100,-0.265943179664117
"610","Moths","Callimorpha dominula",1.334021653,100,0.125162878832478
"611","Moths","Calliteara pudibunda",1.679525879,100,0.225186700062356
"612","Moths","Calophasia lunula",0.244667819,200,-0.611423149364234
"613","Moths","Campaea margaritaria",0.144047636,100,-0.841493864635076
"614","Moths","Camptogramma bilineata",0.011106741,100,-1.95441335540192
"615","Moths","Caradrina clavipalpis",0.181206102,200,-0.741827181823066
"616","Moths","Caradrina kadenii",0.21155034,200,-0.674586272341643
"617","Moths","Caradrina morpheus",0.244667819,100,-0.611423149364234
"618","Moths","Carsia sororiata",0.005620222,100,-2.25024652936496
"619","Moths","Catarhoe cuculata",0.005620222,100,-2.25024652936496
"620","Moths","Catarhoe rubidata",0.008860446,100,-2.05254441688677
"621","Moths","Catocala electa",11.43629288,100,1.05828526897863
"622","Moths","Catocala fraxini",39.85251373,100,1.60045572007686
"623","Moths","Catocala nupta",12.39970863,100,1.09341148017273
"624","Moths","Catocala promissa",3.197816587,100,0.504853550861715
"625","Moths","Catocala sponsa",5.212377291,100,0.717035844006971
"626","Moths","Celaena haworthii",0.110612874,100,-0.956194323467317
"627","Moths","Cepphis advenaria",0.016893077,100,-1.77229123838573
"628","Moths","Ceramica pisi",0.610930597,100,-0.214008123721312
"629","Moths","Cerapteryx graminis",0.244667819,100,-0.611423149364234
"630","Moths","Cerastis leucographa",0.282598983,100,-0.548829405397166
"631","Moths","Cerastis rubricosa",0.323754634,100,-0.489784006675244
"632","Moths","Cerura vinula",52.84962859,100,1.72304193957381
"633","Moths","Charanyca trigrammica",0.359481424,100,-0.444323546623888
"634","Moths","Charissa obscurata",0.024610397,100,-1.60888138046548
"635","Moths","Chesias legatella",0.042034486,100,-1.37639425879109
"636","Moths","Chesias rufata",0.013654173,100,-1.86473459888661
"637","Moths","Chiasmia clathrata",0.005620222,100,-2.25024652936496
"638","Moths","Chilodes maritima",0.21155034,100,-0.674586272341643
"639","Moths","Chlorissa cloraria",0.0035005,100,-2.45586991801204
"640","Moths","Chlorissa viridata",0.0035005,100,-2.45586991801204
"641","Moths","Chloroclysta miata",0.020540647,100,-1.68738588088945
"642","Moths","Chloroclysta siterata",0.016893077,100,-1.77229123838573
"643","Moths","Chloroclystis v-ata",0.000817737,200,-3.08738635135846
"644","Moths","Cidaria fulvata",0.005620222,100,-2.25024652936496
"645","Moths","Cilix glaucata",0.020971752,200,-1.67836528664725
"646","Moths","Cirrhia gilvago",0.423500526,100,-0.373146045926531
"647","Moths","Cirrhia icteritia",0.323754634,100,-0.489784006675244
"648","Moths","Cirrhia ocellaris",0.684637277,100,-0.164539458171176
"649","Moths","Cleora cinctaria",0.042034486,100,-1.37639425879109
"650","Moths","Cleorodes lichenaria",0.020540647,100,-1.68738588088945
"651","Moths","Clostera anachoreta",0.294603702,200,-0.530761800100074
"652","Moths","Clostera curtula",0.185815774,100,-0.730917421287612
"653","Moths","Clostera pigra",0.038236124,100,-1.41752613864302
"654","Moths","Coenobia rufa",0.076550588,100,-1.11605146905227
"655","Moths","Coenocalpe lapidata",0.011106741,100,-1.95441335540192
"656","Moths","Coenophila subrosea",0.854479721,100,-0.0682982397452394
"657","Moths","Coenotephria salicata",0.007133241,100,-2.14671310288216
"658","Moths","Colocasia coryli",0.323754634,100,-0.489784006675244
"659","Moths","Colostygia multistrigaria",0.013654173,100,-1.86473459888661
"660","Moths","Colostygia olivata",0.008860446,100,-2.05254441688677
"661","Moths","Colostygia pectinataria",0.007133241,100,-2.14671310288216
"662","Moths","Colotois pennaria",0.108339064,100,-0.965214920838451
"663","Moths","Comibaena bajularia",0.016893077,100,-1.77229123838573
"664","Moths","Conisania andalusica",0.477965414,100,-0.320603528183669
"665","Moths","Conistra ligula",0.21155034,100,-0.674586272341643
"666","Moths","Conistra rubiginea",0.370519106,100,-0.431189392498602
"667","Moths","Conistra rubiginosa",0.370519106,NA,-0.431189392498602
"668","Moths","Conistra vaccinii",0.244667819,100,-0.611423149364234
"669","Moths","Coranarta cordigera",0.076550588,100,-1.11605146905227
"670","Moths","Coscinia cribraria",0.115243356,100,-0.938384103124536
"671","Moths","Cosmia affinis",0.21155034,100,-0.674586272341643
"672","Moths","Cosmia diffinis",0.282598983,100,-0.548829405397166
"673","Moths","Cosmia pyralina",0.244667819,100,-0.611423149364234
"674","Moths","Cosmia trapezina",0.358345694,100,-0.445697809788761
"675","Moths","Cosmorhoe ocellata",0.008860446,100,-2.05254441688677
"677","Moths","Craniophora ligustri",0.610930597,100,-0.214008123721312
"678","Moths","Crocallis dardoinaria",0.108339064,100,-0.965214920838451
"679","Moths","Crocallis elinguaria",0.080293982,100,-1.09531700368935
"680","Moths","Cryphia algae",0.092155204,100,-1.03548013516363
"681","Moths","Cucullia absinthii",0.542071807,100,-0.265943179664117
"682","Moths","Cucullia asteris",1.169358463,100,0.0679476631199759
"683","Moths","Cucullia chamomillae",1.169358463,100,0.0679476631199759
"684","Moths","Cucullia lychnitis",0.854479721,100,-0.0682982397452394
"685","Moths","Cucullia umbratica",2.053355919,100,0.312464234446285
"686","Moths","Cucullia verbasci",1.290469697,100,0.110747810832463
"687","Moths","Cybosia mesomella",0.05395513,100,-1.26796725673132
"688","Moths","Cyclophora albipunctata",0.005620222,100,-2.25024652936496
"689","Moths","Cyclophora annularia",0.004487519,200,-2.34799369962194
"690","Moths","Cyclophora linearia",0.013654173,100,-1.86473459888661
"691","Moths","Cyclophora pendularia",0.005620222,200,-2.25024652936496
"692","Moths","Cyclophora porata",0.005620222,200,-2.25024652936496
"693","Moths","Cyclophora punctaria",0.011106741,200,-1.95441335540192
"694","Moths","Cymatophorina diluta",0.233905897,100,-0.630958829057558
"695","Moths","Dasypolia templi",1.055148732,100,0.0233136813722646
"696","Moths","Deilephila elpenor",26.56003458,100,1.42422863612871
"697","Moths","Deilephila porcellus",3.354571074,100,0.525636997797523
"698","Moths","Deileptenia ribeata",0.144047636,100,-0.841493864635076
"699","Moths","Deltote bankiana",0.076550588,100,-1.11605146905227
"700","Moths","Deltote pygarga",0.092155204,100,-1.03548013516363
"701","Moths","Deltote uncula",0.092155204,100,-1.03548013516363
"702","Moths","Dendrolimus pini",80.86859879,100,1.90777991815645
"703","Moths","Denticucullus pygmina",0.110612874,100,-0.956194323467317
"704","Moths","Diachrysia chrysitis",0.542071807,100,-0.265943179664117
"705","Moths","Diachrysia chryson",1.423666084,100,0.153408138962626
"706","Moths","Diacrisia sannio",0.308978703,100,-0.510071454194366
"707","Moths","Diaphora mendica",0.115243356,100,-0.938384103124536
"708","Moths","Diarsia brunnea",0.610930597,100,-0.214008123721312
"709","Moths","Diarsia dahlii",0.423500526,100,-0.373146045926531
"710","Moths","Diarsia mendica",0.282598983,100,-0.548829405397166
"711","Moths","Diarsia rubi",0.21155034,100,-0.674586272341643
"712","Moths","Dicallomera fascelina",0.817281137,100,-0.0876285245626006
"713","Moths","Dicycla oo",0.370519106,100,-0.431189392498602
"714","Moths","Diloba caeruleocephala",0.477965414,100,-0.320603528183669
"715","Moths","Drepana falcataria",0.828339385,100,-0.0817916887780712
"716","Moths","Drymonia dodonaea",0.681330565,100,-0.166642127847496
"717","Moths","Drymonia ruficornis",0.556633501,100,-0.25443065919205
"718","Moths","Dryobota labecula",0.181206102,100,-0.741827181823066
"719","Moths","Dryobotodes eremita",0.370519106,100,-0.431189392498602
"720","Moths","Dypterygia scabriuscula",0.370519106,100,-0.431189392498602
"721","Moths","Dyscia fagaria",0.042034486,100,-1.37639425879109
"722","Moths","Dysstroma citrata",0.024610397,100,-1.60888138046548
"723","Moths","Dysstroma truncata",0.024610397,100,-1.60888138046548
"724","Moths","Earias clorana",0.015044126,100,-1.82263303786094
"725","Moths","Earophila badiata",0.020540647,100,-1.68738588088945
"726","Moths","Ecliptopera silaceata",0.013654173,100,-1.86473459888661
"727","Moths","Egira conspicillaris",0.477965414,100,-0.320603528183669
"728","Moths","Eilema caniola",0.096321987,100,-1.01627456705142
"729","Moths","Eilema complana",0.115243356,100,-0.938384103124536
"730","Moths","Eilema depressa",0.096321987,100,-1.01627456705142
"731","Moths","Eilema griseola",0.115243356,100,-0.938384103124536
"732","Moths","Eilema lurideola",0.080293982,100,-1.09531700368935
"733","Moths","Eilema pygmaeola",0.022296524,100,-1.65176283763731
"734","Moths","Eilema sororcula",0.05395513,100,-1.26796725673132
"735","Moths","Elaphria venustula",0.062606607,100,-1.20337983240889
"736","Moths","Electrophaes corylata",0.013654173,100,-1.86473459888661
"737","Moths","Ematurga atomaria",0.007133241,100,-2.14671310288216
"738","Moths","Enargia paleacea",0.684637277,100,-0.164539458171176
"739","Moths","Endromis versicolora",47.34703603,100,1.6752927969379
"740","Moths","Ennomos alniaria",0.042034486,100,-1.37639425879109
"741","Moths","Ennomos autumnaria",0.280626467,100,-0.551871371333351
"742","Moths","Ennomos erosaria",0.058581109,100,-1.23224241094016
"743","Moths","Ennomos fuscantaria",0.058581109,100,-1.23224241094016
"744","Moths","Ennomos quercinaria",0.080293982,100,-1.09531700368935
"745","Moths","Entephria caesiata",0.035229917,100,-1.45308837999459
"746","Moths","Entephria flavicinctata",0.035229917,100,-1.45308837999459
"747","Moths","Epione repandaria",0.011106741,100,-1.95441335540192
"748","Moths","Epione vespertaria",0.005620222,100,-2.25024652936496
"749","Moths","Epirrhoe alternata",0.007133241,200,-2.14671310288216
"750","Moths","Epirrhoe galiata",0.008860446,100,-2.05254441688677
"751","Moths","Epirrhoe rivata",0.013654173,100,-1.86473459888661
"752","Moths","Epirrhoe tristata",0.0035005,100,-2.45586991801204
"753","Moths","Epirrita autumnata",0.042034486,100,-1.37639425879109
"754","Moths","Epirrita christyi",0.035229917,100,-1.45308837999459
"755","Moths","Epirrita dilutata",0.035229917,100,-1.45308837999459
"756","Moths","Epirrita filigrammaria",0.020540647,100,-1.68738588088945
"757","Moths","Erannis defoliaria",0.1248384,100,-0.903651806136343
"758","Moths","Eremobia ochroleuca",0.282598983,100,-0.548829405397166
"759","Moths","Eriogaster lanestris",0.556633501,100,-0.25443065919205
"760","Moths","Eriopygodes imbecilla",0.092155204,100,-1.03548013516363
"761","Moths","Euchoeca nebulata",0.00153449,100,-2.81403593744328
"762","Moths","Euclidia glyphica",0.044012734,100,-1.35642165292685
"763","Moths","Euclidia mi",0.05395513,100,-1.26796725673132
"764","Moths","Eugnorisma depuncta",0.610930597,100,-0.214008123721312
"765","Moths","Eugnorisma glareosa",0.323754634,100,-0.489784006675244
"766","Moths","Eulithis mellinata",0.029643154,100,-1.52807558976415
"767","Moths","Eulithis populata",0.016893077,100,-1.77229123838573
"768","Moths","Eulithis prunata",0.042034486,100,-1.37639425879109
"769","Moths","Eulithis testata",0.020540647,100,-1.68738588088945
"770","Moths","Euphyia biangulata",0.016893077,100,-1.77229123838573
"771","Moths","Euphyia unangulata",0.008860446,100,-2.05254441688677
"772","Moths","Eupithecia abbreviata",0.002049477,100,-2.68835695113578
"773","Moths","Eupithecia abietaria",0.005620222,100,-2.25024652936496
"774","Moths","Eupithecia absinthiata",0.0035005,100,-2.45586991801204
"775","Moths","Eupithecia assimilata",0.00153449,100,-2.81403593744328
"776","Moths","Eupithecia centaureata",0.002049477,100,-2.68835695113578
"777","Moths","Eupithecia denotata",0.0035005,100,-2.45586991801204
"778","Moths","Eupithecia distinctaria",0.000580124,100,-3.23647916719581
"779","Moths","Eupithecia dodoneata",0.000817737,100,-3.08738635135846
"780","Moths","Eupithecia egenaria",0.0035005,100,-2.45586991801204
"781","Moths","Eupithecia exiguata",0.002653264,100,-2.57621953552879
"782","Moths","Eupithecia expallidata",0.004487519,100,-2.34799369962194
"783","Moths","Eupithecia extensaria",0.0035005,100,-2.45586991801204
"784","Moths","Eupithecia haworthiata",0.0004323,100,-3.36421476446635
"785","Moths","Eupithecia icterata",0.0035005,100,-2.45586991801204
"786","Moths","Eupithecia indigata",0.000580124,100,-3.23647916719581
"787","Moths","Eupithecia innotata",0.002049477,200,-2.68835695113578
"788","Moths","Eupithecia insigniata",0.002049477,100,-2.68835695113578
"789","Moths","Eupithecia intricata",0.004487519,100,-2.34799369962194
"790","Moths","Eupithecia inturbata",0.000580124,100,-3.23647916719581
"791","Moths","Eupithecia irriguata",0.001104124,100,-2.95698214989336
"792","Moths","Eupithecia lariciata",0.002049477,100,-2.68835695113578
"793","Moths","Eupithecia linariata",0.000817737,100,-3.08738635135846
"794","Moths","Eupithecia millefoliata",0.004487519,100,-2.34799369962194
"795","Moths","Eupithecia nanata",0.00153449,100,-2.81403593744328
"796","Moths","Eupithecia phoeniceata",0.00153449,100,-2.81403593744328
"797","Moths","Eupithecia pimpinellata",0.002653264,100,-2.57621953552879
"798","Moths","Eupithecia plumbeolata",0.000817737,100,-3.08738635135846
"799","Moths","Eupithecia pulchellata",0.002049477,100,-2.68835695113578
"800","Moths","Eupithecia pusillata",0.001104124,100,-2.95698214989336
"801","Moths","Eupithecia pygmaeata",0.0004323,100,-3.36421476446635
"802","Moths","Eupithecia satyrata",0.002049477,100,-2.68835695113578
"803","Moths","Eupithecia simpliciata",0.0035005,100,-2.45586991801204
"804","Moths","Eupithecia subfuscata",0.002049477,100,-2.68835695113578
"805","Moths","Eupithecia subumbrata",0.002049477,100,-2.68835695113578
